Сигнал1,Сигнал2,Сигнал3,Сигнал4,art,Название,Тип сигнала,Активность в ibaHD
Работа эксгаустера,,,work,SM_Exgauster\[0.0],46 Работа Эксгаустера №3,digital,1
Подшипник 1,Температура нагрева,Температура,temperature,SM_Exgauster\[0:43],Температура нагрева подшипника №1 (ротора привода эксгаустера №4),analog,1
Подшипник 1,Вибрация,Осевая,vibration_axial,SM_Exgauster\[0:14],Осевая вибрация подшипника №1. Эксгаустер №4,analog,1
Подшипник 1,Вибрация,Горизонтальная,vibration_horizontal,SM_Exgauster\[0:12],Горизонтал вибрация подшипника №1. Эксгаустер №4,analog,1
Подшипник 1,Вибрация,Вертикальная,vibration_vertical,SM_Exgauster\[0:13],Вертикал вибрация подшипника №1. Эксгаустер №4,analog,1
Подшипник 2,Температура нагрева,Температура,temperature,SM_Exgauster\[0:44],Температура нагрева подшипника №2 (ротора привода эксгаустера №4),analog,1
Подшипник 2,Вибрация,Осевая,vibration_axial,SM_Exgauster\[0:17],Осевая вибрация подшипника №2. Эксгаустер №4,analog,1
Подшипник 2,Вибрация,Горизонтальная,vibration_horizontal,SM_Exgauster\[0:15],Горизонтал вибрация подшипника №2. Эксгаустер №4,analog,1
Подшипник 2,Вибрация,Вертикальная,vibration_vertical,SM_Exgauster\[0:16],Вертикал вибрация подшипника №2. Эксгаустер №4,analog,1
Подшипник 3,Температура нагрева,Температура,temperature,SM_Exgauster\[0:45],Температура нагрева подшипника №3 (редуктор эксгаустера №4),analog,1
Подшипник 4,Температура нагрева,Температура,temperature,SM_Exgauster\[0:47],Температура нагрева подшипника №4 (редуктор эксгаустера №4),analog,1
Подшипник 5,Температура нагрева,Температура,temperature,SM_Exgauster\[0:48],Температура нагрева подшипника №5 (редуктор эксгаустера №4),analog,1
Подшипник 6,Температура нагрева,Температура,temperature,SM_Exgauster\[0:49],Температура нагрева подшипника №6 (редуктор эксгаустера №4),analog,1
Подшипник 7,Температура нагрева,Температура,temperature,SM_Exgauster\[0:50],Температура нагрева подшипника №7 (ротор эксгаустера №4),analog,1
Подшипник 7,Вибрация,Осевая,vibration_axial,SM_Exgauster\[0:20],Осевая вибрация подшипника №7. Эксгаустер №4,analog,1
Подшипник 7,Вибрация,Горизонтальная,vibration_horizontal,SM_Exgauster\[0:18],Горизонтал вибрация подшипника №7. Эксгаустер №4,analog,1
Подшипник 7,Вибрация,Вертикальная,vibration_vertical,SM_Exgauster\[0:19],Вертикал вибрация подшипника №7. Эксгаустер №4,analog,1
Подшипник 8,Температура нагрева,Температура,temperature,SM_Exgauster\[0:51],Температура нагрева подшипника №8 (ротор эксгаустера №4),analog,1
Подшипник 8,Вибрация,Осевая,vibration_axial,SM_Exgauster\[0:23],Осевая вибрация подшипника №8. Эксгаустер №4,analog,1
Подшипник 8,Вибрация,Горизонтальная,vibration_horizontal,SM_Exgauster\[0:21],Горизонтал вибрация подшипника №8. Эксгаустер №4,analog,1
Подшипник 8,Вибрация,Вертикальная,vibration_vertical,SM_Exgauster\[0:22],Вертикал вибрация подшипника №8. Эксгаустер №4,analog,1
Подшипник 9,Температура нагрева,Температура,temperature,SM_Exgauster\[0:52],Температура нагрева подшипника №9 (ротор эксгаустера №4),analog,1
Охладитель,Масло,,temperature_after,SM_Exgauster\[0:60],Температура масла после охладителя. Эксгаустер №4,analog,1
Охладитель,Масло,,temperature_before,SM_Exgauster\[0:59],Температура масла до охладителя. Эксгаустер №4,analog,1
Охладитель,Вода,,temperature_after,SM_Exgauster\[0:54],Температура воды на выходе охладителя. Эксгаустер №4,analog,1
Охладитель,Вода,,temperature_before,SM_Exgauster\[0:53],Температура воды до охладителя. Эксгаустер №4,analog,1
Газовый коллектор,,,temperature_before,SM_Exgauster\[0:25],Температура перед эксгаустером №4,analog,1
Газовый коллектор,,,underpressure_before,SM_Exgauster\[0:62],Разрежение перед эксгаустером №4,analog,1
Положение задвижки,,,gas_valve_closed,SM_Exgauster\[1.6],ЗАКРЫТО задвижка газ Эксгаустер №4,digital,1
Положение задвижки,,,gas_valve_open,SM_Exgauster\[1.7],ОТКРЫТО задвижка газ Эксгаустер №4,digital,1
Положение задвижки,,,gas_valve_position,SM_Exgauster\[1:13],Положение задвижки газ Эксгаустера №4,analog,1
Главный привод,,,rotor_current,SM_Exgauster\[1:9],Ток ротора Эксгаустера №4,analog,1
Главный привод,,,rotor_voltage,SM_Exgauster\[1:11],Напряжение ротора Эксгаустера №4,analog,1
Главный привод,,,stator_current,SM_Exgauster\[1:10],Ток статора Эксгаустера №4,analog,1
Главный привод,,,stator_voltage,SM_Exgauster\[1:12],Напряжение статора Эксгаустера №4,analog,1
Маслосистема,,,oil_level,SM_Exgauster\[1:7],Уровень масла в маслосистеме Эксгаустера №4,analog,1
Маслосистема,,,oil_pressure,SM_Exgauster\[1:8],Давление масла в маслосистеме Эксгаустера №4,analog,1
Работа эксгаустера,,,work,SM_Exgauster\[0.1],62 Работа Эксгаустера №4,digital,1
Подшипник 1,Температура нагрева,Температура,temperature,SM_Exgauster\[3:27],Температура нагрева подшипника №1 (ротора привода эксгаустера №5),analog,1
Подшипник 1,Вибрация,Осевая,vibration_axial,SM_Exgauster\[3:2],Осевая вибрация подшипника №1. Эксгаустер №5,analog,1
Подшипник 1,Вибрация,Горизонтальная,vibration_horizontal,SM_Exgauster\[3:0],Горизонтал вибрация подшипника №1. Эксгаустер №5,analog,1
Подшипник 1,Вибрация,Вертикальная,vibration_vertical,SM_Exgauster\[3:1],Вертикал вибрация подшипника №1. Эксгаустер №5,analog,1
Подшипник 2,Температура нагрева,Температура,temperature,SM_Exgauster\[3:28],Температура нагрева подшипника №2 (ротора привода эксгаустера №5),analog,1
Подшипник 2,Вибрация,Осевая,vibration_axial,SM_Exgauster\[3:5],Осевая вибрация подшипника №2. Эксгаустер №5,analog,1
Подшипник 2,Вибрация,Горизонтальная,vibration_horizontal,SM_Exgauster\[3:3],Горизонтал вибрация подшипника №2. Эксгаустер №5,analog,1
Подшипник 2,Вибрация,Вертикальная,vibration_vertical,SM_Exgauster\[3:4],Вертикал вибрация подшипника №2. Эксгаустер №5,analog,1
Подшипник 3,Температура нагрева,Температура,temperature,SM_Exgauster\[3:29],Температура нагрева подшипника №3 (редуктор эксгаустера). Эксгаустер №5,analog,1
Подшипник 4,Температура нагрева,Температура,temperature,SM_Exgauster\[3:30],Температура нагрева подшипника №4 (редуктор эксгаустера №5),analog,1
Подшипник 5,Температура нагрева,Температура,temperature,SM_Exgauster\[3:31],Температура нагрева подшипника №5 (редуктор эксгаустера №5),analog,1
Подшипник 6,Температура нагрева,Температура,temperature,SM_Exgauster\[3:32],Температура нагрева подшипника №6 (редуктор эксгаустера №5),analog,1
Подшипник 7,Температура нагрева,Температура,temperature,SM_Exgauster\[3:33],Температура нагрева подшипника №7 (ротор эксгаустера №5),analog,1
Подшипник 7,Вибрация,Осевая,vibration_axial,SM_Exgauster\[3:8],Осевая вибрация подшипника №7. Эксгаустер №5,analog,1
Подшипник 7,Вибрация,Горизонтальная,vibration_horizontal,SM_Exgauster\[3:6],Горизонтал вибрация подшипника №7. Эксгаустер №5,analog,1
Подшипник 7,Вибрация,Вертикальная,vibration_vertical,SM_Exgauster\[3:7],Вертикал вибрация подшипника №7. Эксгаустер №5,analog,1
Подшипник 8,Температура нагрева,Температура,temperature,SM_Exgauster\[3:34],Температура нагрева подшипника №8 (ротор эксгаустера №5),analog,1
Подшипник 8,Вибрация,Осевая,vibration_axial,SM_Exgauster\[3:11],Осевая вибрация подшипника №8. Эксгаустер №5,analog,1
Подшипник 8,Вибрация,Горизонтальная,vibration_horizontal,SM_Exgauster\[3:9],Горизонтал вибрация подшипника №8. Эксгаустер №5,analog,1
Подшипник 8,Вибрация,Вертикальная,vibration_vertical,SM_Exgauster\[3:10],Вертикал вибрация подшипника №8. Эксгаустер №5,analog,1
Подшипник 9,Температура нагрева,Температура,temperature,SM_Exgauster\[3:35],Температура нагрева подшипника №9 (ротор эксгаустера №5),analog,1
Охладитель,Масло,,temperature_after,SM_Exgauster\[3:42],Температура масла после охладителя. Эксгаустер №5,analog,1
Охладитель,Масло,,temperature_before,SM_Exgauster\[3:41],Температура масла до охладителя. Эксгаустер №5,analog,1
Охладитель,Вода,,temperature_after,SM_Exgauster\[3:37],Температура воды на выходе охладителя. Эксгаустер №5,analog,1
Охладитель,Вода,,temperature_before,SM_Exgauster\[3:36],Температура воды до охладителя. Эксгаустер №5,analog,1
Газовый коллектор,,,temperature_before,SM_Exgauster\[3:24],Температура перед эксгаустером №5,analog,1
Газовый коллектор,,,underpressure_before,SM_Exgauster\[3:61],Разрежение перед эксгаустером №5,analog,1
Положение задвижки,,,gas_valve_closed,SM_Exgauster\[5.1],ЗАКРЫТО задвижка газ эксгаустер №5,digital,1
Положение задвижки,,,gas_valve_open,SM_Exgauster\[5.2],ОТКРЫТО задвижка газ эксгаустер №5,digital,1
Положение задвижки,,,gas_valve_position,SM_Exgauster\[5:6],Положение задвижки газ эксгаустера №5,analog,1
Главный привод,,,rotor_current,SM_Exgauster\[5:2],Ток ротора эксгаустера №5,analog,1
Главный привод,,,rotor_voltage,SM_Exgauster\[5:4],Напряжение ротора эксгаустера №5,analog,1
Главный привод,,,stator_current,SM_Exgauster\[5:3],Ток статора эксгаустера №5,analog,1
Главный привод,,,stator_voltage,SM_Exgauster\[5:5],Напряжение статораэксгаустера №5,analog,1
Маслосистема,,,oil_level,SM_Exgauster\[5:0],Уровень масла в маслосистеме эксгаустера №5,analog,1
Маслосистема,,,oil_pressure,SM_Exgauster\[5:1],Давление масла в маслосистеме эксгаустера №5,analog,1
Работа эксгаустера,,,work,SM_Exgauster\[3.0],46 Работа эксгаустера №5,digital,1
Подшипник 1,Температура нагрева,Температура,temperature,SM_Exgauster\[3:43],Температура нагрева подшипника №1 (ротора привода эксгаустера №6),analog,1
Подшипник 1,Вибрация,Осевая,vibration_axial,SM_Exgauster\[3:14],Осевая вибрация подшипника №1. Эксгаустер №6,analog,1
Подшипник 1,Вибрация,Горизонтальная,vibration_horizontal,SM_Exgauster\[3:12],Горизонтал вибрация подшипника №1. Эксгаустер №6,analog,1
Подшипник 1,Вибрация,Вертикальная,vibration_vertical,SM_Exgauster\[3:13],Вертикал вибрация подшипника №1. Эксгаустер №6,analog,1
Подшипник 2,Температура нагрева,Температура,temperature,SM_Exgauster\[3:44],Температура нагрева подшипника №2 (ротора привода эксгаустера №6),analog,1
Подшипник 2,Вибрация,Осевая,vibration_axial,SM_Exgauster\[3:17],Осевая вибрация подшипника №2. Эксгаустер №6,analog,1
Подшипник 2,Вибрация,Горизонтальная,vibration_horizontal,SM_Exgauster\[3:15],Горизонтал вибрация подшипника №2. Эксгаустер №6,analog,1
Подшипник 2,Вибрация,Вертикальная,vibration_vertical,SM_Exgauster\[3:16],Вертикал вибрация подшипника №2. Эксгаустер №6,analog,1
Подшипник 3,Температура нагрева,Температура,temperature,SM_Exgauster\[3:45],Температура нагрева подшипника №3 (редуктор эксгаустера №6),analog,1
Подшипник 4,Температура нагрева,Температура,temperature,SM_Exgauster\[3:47],Температура нагрева подшипника №4 (редуктор эксгаустера №6),analog,1
Подшипник 5,Температура нагрева,Температура,temperature,SM_Exgauster\[3:48],Температура нагрева подшипника №5 (редуктор эксгаустера №6),analog,1
Подшипник 6,Температура нагрева,Температура,temperature,SM_Exgauster\[3:49],Температура нагрева подшипника №6 (редуктор эксгаустера №6),analog,1
Подшипник 7,Температура нагрева,Температура,temperature,SM_Exgauster\[3:50],Температура нагрева подшипника №7 (ротор эксгаустера №6),analog,1
Подшипник 7,Вибрация,Осевая,vibration_axial,SM_Exgauster\[3:20],Осевая вибрация подшипника №7. Эксгаустер №6,analog,1
Подшипник 7,Вибрация,Горизонтальная,vibration_horizontal,SM_Exgauster\[3:18],Горизонтал вибрация подшипника №7. Эксгаустер №6,analog,1
Подшипник 7,Вибрация,Вертикальная,vibration_vertical,SM_Exgauster\[3:19],Вертикал вибрация подшипника №7. Эксгаустер №6,analog,1
Подшипник 8,Температура нагрева,Температура,temperature,SM_Exgauster\[3:51],Температура нагрева подшипника №8 (ротор эксгаустера №6),analog,1
Подшипник 8,Вибрация,Осевая,vibration_axial,SM_Exgauster\[3:23],Осевая вибрация подшипника №8. Эксгаустер №6,analog,1
Подшипник 8,Вибрация,Горизонтальная,vibration_horizontal,SM_Exgauster\[3:21],Горизонтал вибрация подшипника №8. Эксгаустер №6,analog,1
Подшипник 8,Вибрация,Вертикальная,vibration_vertical,SM_Exgauster\[3:22],Вертикал вибрация подшипника №8. Эксгаустер №6,analog,1
Подшипник 9,Температура нагрева,Температура,temperature,SM_Exgauster\[3:52],Температура нагрева подшипника №9 (ротор эксгаустера №6),analog,1
Охладитель,Масло,,temperature_after,SM_Exgauster\[3:60],Температура масла после охладителя. Эксгаустер №6,analog,1
Охладитель,Масло,,temperature_before,SM_Exgauster\[3:59],Температура масла до охладителя. Эксгаустер №6,analog,1
Охладитель,Вода,,temperature_after,SM_Exgauster\[3:54],Температура воды на выходе охладителя. Эксгаустер №6,analog,1
Охладитель,Вода,,temperature_before,SM_Exgauster\[3:53],Температура воды до охладителя. Эксгаустер №6,analog,1
Газовый коллектор,,,temperature_before,SM_Exgauster\[3:25],Температура перед эксгаустером №6,analog,1
Газовый коллектор,,,underpressure_before,SM_Exgauster\[3:62],Разрежение перед эксгаустером №6,analog,1
Положение задвижки,,,gas_valve_closed,SM_Exgauster\[5.6],ЗАКРЫТО задвижка газ эксгаустер №6,digital,1
Положение задвижки,,,gas_valve_open,SM_Exgauster\[5.7],ОТКРЫТО задвижка газ эксгаустер №6,digital,1
Положение задвижки,,,gas_valve_position,SM_Exgauster\[5:13],Положение задвижки газ эксгаустера №6,analog,1
Главный привод,,,rotor_current,SM_Exgauster\[5:9],Ток ротора эксгаустера №6,analog,1
Главный привод,,,rotor_voltage,SM_Exgauster\[5:11],Напряжение ротора эксгаустера №6,analog,1
Главный привод,,,stator_current,SM_Exgauster\[5:10],Ток статора эксгаустера №6,analog,1
Главный привод,,,stator_voltage,SM_Exgauster\[5:12],Напряжение статораэксгаустера №6,analog,1
Маслосистема,,,oil_level,SM_Exgauster\[5:7],Уровень масла в маслосистеме эксгаустера №6,analog,1
Маслосистема,,,oil_pressure,SM_Exgauster\[5:8],Давление масла в маслосистеме эксгаустера №6,analog,1
Работа эксгаустера,,,work,SM_Exgauster\[3.1],62 Работа эксгаустера №6,digital,1
